Date,Value,Comment
1964-11-01T00:00:00.000+02:00,111.5072,Historical data not yet verfied
1964-10-01T00:00:00.000+02:00,112.6776,Historical data not yet verfied
1964-09-01T00:00:00.000+02:00,54.9024,Historical data not yet verfied
1964-08-01T00:00:00.000+02:00,212.8,Historical data not yet verfied
1964-07-01T00:00:00.000+02:00,208.3312,Historical data not yet verfied
1964-06-01T00:00:00.000+02:00,246.848,Historical data not yet verfied
1964-05-01T00:00:00.000+02:00,150.024,Historical data not yet verfied
1964-04-01T00:00:00.000+02:00,68.5216,Historical data not yet verfied
1964-03-01T00:00:00.000+02:00,2.8728,Historical data not yet verfied
1964-02-01T00:00:00.000+02:00,138.6392,Historical data not yet verfied
1964-01-01T00:00:00.000+02:00,12.9808,Historical data not yet verfied
1963-12-01T00:00:00.000+02:00,91.7168,Historical data not yet verfied
1963-11-01T00:00:00.000+02:00,108.1024,Historical data not yet verfied
1963-10-01T00:00:00.000+02:00,22.6632,Historical data not yet verfied
1963-09-01T00:00:00.000+02:00,132.468,Historical data not yet verfied
1963-08-01T00:00:00.000+02:00,345.268,Historical data not yet verfied
1963-07-01T00:00:00.000+02:00,350.9072,Historical data not yet verfied
1963-06-01T00:00:00.000+02:00,139.2776,Historical data not yet verfied
1963-05-01T00:00:00.000+02:00,84.3752,Historical data not yet verfied
1963-04-01T00:00:00.000+02:00,33.4096,Historical data not yet verfied
1963-03-01T00:00:00.000+02:00,17.024,Historical data not yet verfied
1963-02-01T00:00:00.000+02:00,8.512,Historical data not yet verfied
1963-01-01T00:00:00.000+02:00,47.5608,Historical data not yet verfied
1962-12-01T00:00:00.000+02:00,11.2784,Historical data not yet verfied
1962-11-01T00:00:00.000+02:00,52.668,Historical data not yet verfied
1962-10-01T00:00:00.000+02:00,108.6344,Historical data not yet verfied
1962-09-01T00:00:00.000+02:00,187.9024,Historical data not yet verfied
1962-08-01T00:00:00.000+02:00,406.448,Historical data not yet verfied
1962-07-01T00:00:00.000+02:00,178.3264,Historical data not yet verfied
1962-06-01T00:00:00.000+02:00,644.6776,Historical data not yet verfied
1962-05-01T00:00:00.000+02:00,82.0344,Historical data not yet verfied
1962-04-01T00:00:00.000+02:00,139.2776,Historical data not yet verfied
1962-03-01T00:00:00.000+02:00,159.6,Historical data not yet verfied
1962-02-01T00:00:00.000+02:00,79.268,Historical data not yet verfied
1962-01-01T00:00:00.000+02:00,21.4928,Historical data not yet verfied
1961-12-01T00:00:00.000+02:00,37.3464,Historical data not yet verfied
1961-11-01T00:00:00.000+02:00,0.1064,Historical data not yet verfied
1961-10-01T00:00:00.000+02:00,60.5416,Historical data not yet verfied
1961-09-01T00:00:00.000+02:00,59.4776,Historical data not yet verfied
1961-08-01T00:00:00.000+02:00,402.5112,Historical data not yet verfied
1961-07-01T00:00:00.000+02:00,102.4632,Historical data not yet verfied
1961-06-01T00:00:00.000+02:00,242.2728,Historical data not yet verfied
1961-05-01T00:00:00.000+02:00,247.38,Historical data not yet verfied
1961-04-01T00:00:00.000+02:00,51.4976,Historical data not yet verfied
1961-03-01T00:00:00.000+02:00,28.3024,Historical data not yet verfied
